Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/21/2015 18:10,Closed CSA,1350 BULL LEA RD,CSA20150265,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/21/2015 17:20,Closed CSA,1350 BULL LEA RD,CSA20150266,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/22/2015 7:22,Closed CSA,1350 BULL LEA RD,CSA20150267,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/22/2015 8:20,Closed CSA,1350 BULL LEA RD,CSA20150268,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/22/2015 23:50,Closed CSA,1350 BULL LEA RD,CSA20150269,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/23/2015 6:30,Closed CSA,1350 BULL LEA RD,CSA20150270,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,3/23/2015 18:30,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150721,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,3/23/2015 21:24,Closed CSA,1350 BULL LEA RD,CSA20150271,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,3/24/2015 22:30,Open,500 ALUMNI DR,20150729,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Open,500 ALUMNI DR
"ASSAULT 4TH DEGREE (MINOR INJURY)/M, ASSAULT 4TH DEGREE (NO VISIBLE INJURY)/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,3/24/2015 23:22,Closed,310 SOUTH LIMESTONE ST,20150730,"ASSAULT 4TH DEGREE (MINOR INJURY)/M, ASSAULT 4TH DEGREE (NO VISIBLE INJURY)/M",Assault,Closed,310 SOUTH LIMESTONE ST
ASSAULT ,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Assault,3/24/2015 2:30,Closed CSA,769 WOODLAND AVE,CSA20150272,ASSAULT ,Assault,Closed CSA,769 WOODLAND AVE
RAPE,720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Sex Offenses,2/19/2015 5:00,Closed CSA,720 WOODLAND AVE,CSA20150273,RAPE,Sex Offenses,Closed CSA,720 WOODLAND AVE
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/24/2015 19:50,Closed CSA,1350 BULL LEA RD,CSA20150274,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/24/2015 19:55,Closed CSA,1350 BULL LEA RD,CSA20150275,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/25/2015 2:56,Closed CSA,1350 BULL LEA RD,CSA20150276,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/25/2015 12:34,Closed CSA,1350 BULL LEA RD,CSA20150277,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TBUT OR DISP BICYCLES U/$500/M,752 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,3/12/2015 12:00,Open,752 WOODLAND AVE,20150731,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,752 WOODLAND AVE
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/25/2015 15:35,Closed CSA,1350 BULL LEA RD,CSA20150278,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
TBUT OR DISP FROM BUILDING,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/22/2015 4:00,Closed CSA,740 SOUTH LIMESTONE ST,CSA20150279,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,740 SOUTH LIMESTONE ST
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/26/2015 11:15,Closed CSA,1350 BULL LEA RD,CSA20150280,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/26/2015 16:00,Closed CSA,1350 BULL LEA RD,CSA20150281,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,3/26/2015 19:10,Closed CSA,1350 BULL LEA RD,CSA20150282,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,3/26/2015 20:00,Closed CSA,1350 BULL LEA RD,CSA20150283,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/8/2015 21:00,Open,310 SOUTH LIMESTONE ST,201502739,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,310 SOUTH LIMESTONE ST
"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM0 1ST OFF/M, CARELESS DRIVING, IMPROPER TURNING",ELIZABETH ST & STATE ST  ,Lexington,Kentucky,United States of America,DUI,3/27/2015 7:08,Cleared By Arrest,ELIZABETH ST & STATE ST,20150741,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM0 1ST OFF/M, CARELESS DRIVING, IMPROPER TURNING",DUI,Cleared By Arrest,ELIZABETH ST & STATE ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/27/2015 0:16,Closed CSA,1350 BULL LEA RD,CSA20150284,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/27/2015 0:42,Closed CSA,1350 BULL LEA RD,CSA20150285,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL ,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,3/26/2015 5:00,Closed Disciplinary Referral,769 WOODLAND AVE,CSA20150286,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL ,Liquor Law Violation,Closed Disciplinary Referral,769 WOODLAND AVE
ASSAULT 4TH (NO VISIBLE INJURY)/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,3/28/2015 3:00,Closed,1000 SOUTH LIMESTONE ST,20150763,ASSAULT 4TH (NO VISIBLE INJURY)/M,Assault,Closed,1000 SOUTH LIMESTONE ST
TERRORISTIC THREATENING 3RD/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/28/2015 2:30,Closed Cleared By Exception,1000 SOUTH LIMESTONE ST,20150745,TERRORISTIC THREATENING 3RD/M,Terroristic Threatening,Closed Cleared By Exception,1000 SOUTH LIMESTONE ST
"RECKLESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, PERSON <18 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, POSS OF MARIJUANA, DRUG PARAPHERNALIA - BUY/POSSESS/M",SOUTH LIMESTONE ST & PRALL ST  ,Lexington,Kentucky,United States of America,DUI,3/28/2015 6:24,Cleared By Arrest,SOUTH LIMESTONE ST & PRALL ST,20150746,"RECKLESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, PERSON <18 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, POSS OF MARIJUANA, DRUG PARAPHERNALIA - BUY/POSSESS/M",DUI,Cleared By Arrest,SOUTH LIMESTONE ST & PRALL ST
"HARASSING COMMUNICATIONS/M, HARASSMENT (NO PHYSICAL CONTACT)",650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Harassment,3/28/2015 14:00,Closed,650 WOODLAND AVE,20150747,"HARASSING COMMUNICATIONS/M, HARASSMENT (NO PHYSICAL CONTACT)",Harassment,Closed,650 WOODLAND AVE
"CRIMINAL MISCHIEF 1ST/F, TBUT OR DISP ALL OTHERS/M",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Criminal Mischief,3/28/2015 2:45,Closed,1540 UNIVERSITY DR,20150749,"CRIMINAL MISCHIEF 1ST/F, TBUT OR DISP ALL OTHERS/M",Criminal Mischief,Closed,1540 UNIVERSITY DR
DRUG PARAPHERNALIA - BUY/POSSESS/M,761 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,3/29/2015 1:20,Citation Issued,761 WOODLAND AVE,20150752,DRUG PARAPHERNALIA - BUY/POSSESS/M,Drug Violations,Citation Issued,761 WOODLAND AVE
"DISORDERLY CONDUCT 2ND/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",ROSE ST & HUGUELET DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,3/29/2015 2:45,Cleared By Arrest,ROSE ST & HUGUELET DR,20150753,"DISORDERLY CONDUCT 2ND/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",Alcohol Intoxication,Cleared By Arrest,ROSE ST & HUGUELET DR
"OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, IMPROPER TURNING, CARELESS DRIVING",NICHOLASVILLE RD & FARM RD  ,Lexington,Kentucky,United States of America,DUI,3/29/2015 6:54,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,20150754,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, IMPROPER TURNING, CARELESS DRIVING",DUI,Cleared By Arrest,NICHOLASVILLE RD & FARM RD
HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Harassment,3/29/2015 7:50,Closed,1000 SOUTH LIMESTONE ST,20150755,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,Harassment,Closed,1000 SOUTH LIMESTONE ST
"ASSAULT 4TH (NO VISIBLE INJURY)/M, DISORDERLY CONDUCT 2ND/M, HARASSMENT - PHYSICAL CONTACT - NO INJURY/M",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,3/29/2015 7:00,Citation Issued,1000 SOUTH LIMESTONE ST,20150756,"ASSAULT 4TH (NO VISIBLE INJURY)/M, DISORDERLY CONDUCT 2ND/M, HARASSMENT - PHYSICAL CONTACT - NO INJURY/M",Assault,Citation Issued,1000 SOUTH LIMESTONE ST
ASSAULT ,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,3/29/2015 8:30,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150287,ASSAULT ,Assault,Closed CSA,1000 SOUTH LIMESTONE ST
CRIMINAL MISCHIEF,"617 CLEMONS FORK RD, CLAYHOLE,   ",Lexington,Kentucky,United States of America,Criminal Mischief,3/29/2015 23:30,Closed CSA,"617 CLEMONS FORK RD, CLAYHOLE, KY",CSA20150288,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,"617 CLEMONS FORK RD, CLAYHOLE, KY"
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/27/2015 12:40,Closed CSA,1350 BULL LEA RD,CSA20150289,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/29/2015 0:30,Closed CSA,1350 BULL LEA RD,CSA20150290,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/29/2015 0:35,Closed CSA,1350 BULL LEA RD,CSA20150291,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/29/2015 19:06,Closed CSA,1350 BULL LEA RD,CSA20150292,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/29/2015 22:54,Closed CSA,1350 BULL LEA RD,CSA20150293,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,756 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Assault,3/29/2015 5:41,Closed Disciplinary Referral,756 WOODLAND AVE,CSA20150294,ASSAULT X2,Assault,Closed Disciplinary Referral,756 WOODLAND AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),330 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,3/30/2015 23:30,Cleared By Arrest,330 SOUTH LIMESTONE STREET,20150765,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,330 SOUTH LIMESTONE STREET
"ASSAULT 3RD DEGREE - POLICE OFFICER OR PROB OFFICER/F, RESISTING ARREST/M, DISORDERLY CONDUCT 2ND/M",701 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Assault,3/31/2015 3:49,Cleared By Arrest,701 SPORTS CENTER DR,20150768,"ASSAULT 3RD DEGREE - POLICE OFFICER OR PROB OFFICER/F, RESISTING ARREST/M, DISORDERLY CONDUCT 2ND/M",Assault,Cleared By Arrest,701 SPORTS CENTER DR
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,3/30/2015 23:30,Closed CSA,1350 BULL LEA RD,CSA20150295,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/31/2015 12:45,Closed CSA,1350 BULL LEA RD,CSA20150296,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
TBUT OR DISP BUILDING U/$500/M,160 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,3/27/2015 21:00,Closed,160 FUNKHOUSER DR,20150769,TBUT OR DISP BUILDING U/$500/M,Theft,Closed,160 FUNKHOUSER DR
"CRIMINAL TRESPASSING 3RD DEGREE, RESISTING ARREST/M, ASSAULT 3RD DEGREE - POLICE OFFICER OR PROB OFFICER/F",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,4/1/2015 6:05,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150771,"CRIMINAL TRESPASSING 3RD DEGREE, RESISTING ARREST/M, ASSAULT 3RD DEGREE - POLICE OFFICER OR PROB OFFICER/F",Assault,Cleared By Arrest,310 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,3/31/2015 16:00,Closed N/A,310 SOUTH LIMESTONE ST,201509234,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed N/A,310 SOUTH LIMESTONE ST
TBUT OR DISP AUTO UNDER $500/M,845 RED MILE RD  ,Lexington,Kentucky,United States of America,Motor Vehicle Theft,3/31/2015 12:00,Closed Lexington Police Report,845 RED MILE RD,2015049594,TBUT OR DISP AUTO UNDER $500/M,Motor Vehicle Theft,Closed Lexington Police Report,845 RED MILE RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/31/2015 18:08,Closed CSA,1350 BULL LEA RD,CSA20150297,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,3/31/2015 19:40,Closed CSA,1350 BULL LEA RD,CSA20150298,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"CRIMINAL MISCHIEF, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,3/31/2015 22:00,Closed CSA,1350 BULL LEA RD,CSA20150299,"CRIMINAL MISCHIEF, TERRORISTIC THREATENING",Criminal Mischief,Closed CSA,1350 BULL LEA RD
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/2/2015 5:14,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150776,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE ,504 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/2/2015 5:55,Closed Disciplinary Referral,504 ADMINISTRATION DR,201509444,ALCOHOL INTOXICATION IN A PUBLIC PLACE ,Alcohol Intoxication,Closed Disciplinary Referral,504 ADMINISTRATION DR
"RECEIVING STOLEN PROPERTY (FIREARM)/F X2, ASSAULT 3RD DEGREE - POLICE OFFICER OR PROB OFFICER/F, FLEEING OR EVADING POLICE 1ST DEGREE (ON FOOT)/F, TRAFF IN CONT SUB 1ST DEGREE 1ST OFF (<2 GMS HEROIN)/F, WANTON ENDANGERMENT 1ST DEGREE - POLICE OFFICER/F, POSSESSION OF FIREARM BY CONVICTED FELON/F X2, POSSESSION OF DEFACED FIREARM/M",371 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Weapons Possession,3/28/2015 10:15,Closed Lexington Police Report,371 SOUTH LIMESTONE ST,2015048074,"RECEIVING STOLEN PROPERTY (FIREARM)/F X2, ASSAULT 3RD DEGREE - POLICE OFFICER OR PROB OFFICER/F, FLEEING OR EVADING POLICE 1ST DEGREE (ON FOOT)/F, TRAFF IN CONT SUB 1ST DEGREE 1ST OFF (<2 GMS HEROIN)/F, WANTON ENDANGERMENT 1ST DEGREE - POLICE OFFICER/F, POSSESSION OF FIREARM BY CONVICTED FELON/F X2, POSSESSION OF DEFACED FIREARM/M",Weapons Possession,Closed Lexington Police Report,371 SOUTH LIMESTONE ST
CRIMINAL MISCHIEF ,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/1/2015 21:45,Closed CSA,1350 BULL LEA RD,CSA20150300,CRIMINAL MISCHIEF ,Criminal Mischief,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,763 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,3/29/2015 4:59,Closed CSA,763 WOODLAND AVE,CSA20150301,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,763 WOODLAND AVE
"POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PUBLIC INTOXICATION - CONTROLL SUB (EXCLUDES ALCOHOL)/M",750 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/2/2015 4:21,Citation Issued,750 WOODLAND AVE,20150774,"POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PUBLIC INTOXICATION - CONTROLL SUB (EXCLUDES ALCOHOL)/M",Drug Violations,Citation Issued,750 WOODLAND AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),740 ROSE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/3/2015 5:25,Cleared By Arrest,740 ROSE ST,20150784,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,740 ROSE ST
"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",SOUTH UPPER ST & SCOTT ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/3/2015 7:06,Cleared By Arrest,SOUTH UPPER ST & SCOTT ST,20150786,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",Alcohol Intoxication,Cleared By Arrest,SOUTH UPPER ST & SCOTT ST
"CRIMINAL TRESPASSING 3RD, DISORDERLY CONDUCT 2ND/M",789 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Disorderly Conduct,4/3/2015 9:02,Cleared By Arrest,789 SOUTH LIMESTONE ST,20150787,"CRIMINAL TRESPASSING 3RD, DISORDERLY CONDUCT 2ND/M",Disorderly Conduct,Cleared By Arrest,789 SOUTH LIMESTONE ST
HARASSMENT - PHYSICAL CONTACT - NO INJURY,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Harassment,4/2/2015 14:30,Closed N/A,1000 SOUTH LIMESTONE ST,201509469,HARASSMENT - PHYSICAL CONTACT - NO INJURY,Harassment,Closed N/A,1000 SOUTH LIMESTONE ST
HARASSMENT,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Harassment,4/2/2015 1:30,Closed CSA,430 COMPLEX DR,CSA20150302,HARASSMENT,Harassment,Closed CSA,430 COMPLEX DR
ASSAULT,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,4/2/2015 20:15,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150303,ASSAULT,Assault,Closed CSA,1000 SOUTH LIMESTONE ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/2/2015 12:17,Closed CSA,1350 BULL LEA RD,CSA20150304,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/2/2015 16:52,Closed CSA,1350 BULL LEA RD,CSA20150305,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/2/2015 23:51,Closed CSA,1350 BULL LEA RD,CSA20150306,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
"DRIVING TOO FAST FOR TRAFFIC CONDITIONS, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OL/M",UNIVERSITY DR & HUGUELET DR  ,Lexington,Kentucky,United States of America,All Other Offenses,4/3/2015 17:42,Citation Issued,UNIVERSITY DR & HUGUELET DR,20150788,"DRIVING TOO FAST FOR TRAFFIC CONDITIONS, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OL/M",All Other Offenses,Citation Issued,UNIVERSITY DR & HUGUELET DR
"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/4/2015 6:16,Cleared By Arrest,AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST,20150789,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",Alcohol Intoxication,Cleared By Arrest,AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST
"CARELESS DRIVING, FAILURE TO OR IMPROPER SIGNAL, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS/M",VIRGINIA AVE & WINNIE ST  ,Lexington,Kentucky,United States of America,DUI,4/4/2015 7:44,Cleared By Arrest,VIRGINIA AVE & WINNIE ST,20150790,"CARELESS DRIVING, FAILURE TO OR IMPROPER SIGNAL, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, FAILURE TO NOTIFY ADRS CHANGE TO DEPT OF TRANS/M",DUI,Cleared By Arrest,VIRGINIA AVE & WINNIE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,610 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/3/2015 21:30,Open,610 SOUTH LIMESTONE ST,20150792,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,610 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),WARREN CT  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/5/2015 3:04,Cleared By Arrest,WARREN CT,20150793,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,WARREN CT
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),UNIVERSITY CT & ALUMNI DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/5/2015 5:10,Cleared By Arrest,UNIVERSITY CT & ALUMNI DR,20150795,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,UNIVERSITY CT & ALUMNI DR
DRUG PARAPHERNALIA - BUY/POSSESS/M,721 PRESS AVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/5/2015 6:51,Citation Issued,721 PRESS AVE,20150796,DRUG PARAPHERNALIA - BUY/POSSESS/M,Drug Violations,Citation Issued,721 PRESS AVE
