Category,Case Number,Month,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,Addressess-updated-v-2_Address (AllAddressesCombined),Addressess-updated-v-2_Bldg Name,Addressess-updated-v-2_Bldg Name (AllAddressesCombined),Addressess-updated-v-2_Bldg No.,Addressess-updated-v-2_Bldg No. (AllAddressesCombined),Addressess-updated-v-2_City,Addressess-updated-v-2_City (AllAddressesCombined),Addressess-updated-v-2_Code,Addressess-updated-v-2_Code (AllAddressesCombined),Addressess-updated-v-2_GIS Comments,Addressess-updated-v-2_State,Addressess-updated-v-2_State (AllAddressesCombined),Addressess-updated-v-2_Zip,Addressess-updated-v-2_LatDiff,Addressess-updated-v-2_LongDiff,Lat,Long,LATITUDE,LONGITUDE
Theft,20133117,11,11/14/2013 - 4:30am,11/15/2013,HILLTOP AVE,"THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Open,,,,,,,,,,,,,,,,,,,
Harassing Communications,20133118,11,10/10/2013 - 11:00am,11/15/2013,1350 BULL LEA RD,HARASSING COMMUNICATIONS/M,No,Closed,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Theft,20133119,11,11/11/2013 - 12:00pm,11/15/2013,1000 SOUTH LIMESTONE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,1000 SOUTH LIMESTONE ST,Patient Care Facility (Pavilion A),Patient Care Facility (Pavilion A),602,602,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031528,-84.509463,38.031528,-84.509463,38,-85
Theft,20133120,11,11/15/2013 - 5:25pm,11/15/2013,1210 UNIVERSITY DR,"TBUT OR DISP FROM BUILDING $500 BUT U/$10,000/F",No,Open,1210 UNIVERSITY DR,Seaton Center,Seaton Center,219,219,Lexington,Lexington,0,0,KY,KY,40506,40506,38.028496,-84.504769,38.028496,-84.504769,38,-85
Drug Violations,20133125,11,11/15/2013 - 11:44pm,11/15/2013,708 SPORTS CENTER DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON <18 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",Yes,Closed - Disciplinary Referral,708 SPORTS CENTER DR,Shively Grounds Storage Bldg,Shively Grounds Storage Bldg,449,449,Lexington,Lexington,0,0,KY,KY,40506,40506,38.027044,-84.500178,38.027044,-84.500178,38,-85
Assault,CSA20130026,11,11/15/2013 - 8:25pm,11/15/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Drug Violations,20133123,11,11/16/2013 - 12:00am,11/16/2013,758 WOODLAND AVE,POSS OF MARIJUANA/M X 3,Yes,Citation issued,758 WOODLAND AVE,Kirwan Tower,Kirwan Tower,149,149,Lexington,Lexington,0,0,KY,KY,40526,40526,38.029441,-84.502532,38.029441,-84.502532,38,-85
Criminal Trespass,20133127,11,11/16/2013 - 6:00am,11/16/2013,301 ROSE ST,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,301 ROSE ST,James F. Hardymon Communications Bldg,James F. Hardymon Communications Bldg,495,495,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039703,-84.497123,38.039703,-84.497123,38,-84
Assault,CSA20130027,11,11/16/2013 - 7:38am,11/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130028,11,11/16/2013 - 10:29am,11/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130029,11,11/16/2013 - 12:00pm,11/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130030,11,11/16/2013 - 12:53pm,11/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130031,11,11/16/2013 - 12:10pm,11/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130032,11,11/16/2013 - 9:03pm,11/16/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Alcohol Intoxication,20133134,11,11/17/2013 - 12:45am,11/17/2013,450 PENNSYLVANIA AVE,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND/M",No,Cleared By Arrest,450 PENNSYLVANIA AVE,Delta Gamma Sorority,Delta Gamma Sorority,122,122,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034071,-84.499518,38.034071,-84.499518,38,-84
All Other Offenses,20133135,11,11/17/2013 - 3:34am,11/17/2013,758 WOODLAND AVE,INDECENT EXPOSURE 1ST DEGREE 1ST OFFENSE/M,Yes,Closed,758 WOODLAND AVE,Kirwan Tower,Kirwan Tower,149,149,Lexington,Lexington,0,0,KY,KY,40526,40526,38.029441,-84.502532,38.029441,-84.502532,38,-85
Terroristic Threatening,20133141,11,11/17/2013 - 3:00pm,11/17/2013,1300 SPORTS CENTER DR,TERRORISTIC THREATENING/3RD,Yes,Closed,1300 SPORTS CENTER DR,Ronald McDonald House,Alpha Omicron Pi Sorority,Lexington,Lexington,KY,KY,40506,40508,38.038245,-84.49868,0.014887,38.023358,0.011945,,0.011945,,0,
Theft,20133142,11,11/16/2013 - 10:30pm,11/17/2013,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,William R. Willard Medical Education Bldg,William R. Willard Medical Education Bldg,298,298,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03101112,0.00191791,1,0.001918,1,0,1
Theft,20133144,11,11/17/2013 - 11:45pm,11/17/2013,301 HILLTOP AVE,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,301 HILLTOP AVE,Parking Garage No 2,Parking Garage No 2,198,198,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033407,-84.50395,38.033407,-84.50395,38,-85
Assault,CSA20130033,11,11/17/2013 - 2:30pm,11/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130034,11,11/17/2013 - 7:25pm,11/17/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Criminal Mischief,2013182475,11,11/14/2013 - 2:25pm,11/18/2013,WARREN CT & SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 3RD/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Theft,2013183823,11,11/15/2013 - 10:00pm,11/18/2013,AVENUE OF CHAMPIONS,SEIZED AND FORFEITED PROPERTY,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Theft,20133145,11,11/15/2013 - 4:00pm,11/18/2013,750 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,750 ROSE ST,Ben Roach Cancer Care Facility,Ben Roach Cancer Care Facility,93,93,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032456,-84.507403,38.032456,-84.507403,38,-85
Terroristic Threatening,20133147,11,11/18/2013 - 8:45am,11/18/2013,695 WINNIE ST,TERRORISTIC THREATENING 3RD/M,Yes,Closed,695 Winnie St,Royal Lexington (Lease),Royal Lexington (Lease),9816,9816,Lexington,Lexington,98,98,KY,KY,40508,40508,38.036865,-84.511568,38.036865,-84.511568,38,-85
Disorderly Conduct,20133151,11,11/18/2013 - 10:15pm,11/18/2013,310 SOUTH LIMESTONE ST,DISORDERLY CONDUCT 2ND/M,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Alcohol Intoxication,20133152,11,11/18/2013 - 10:47pm,11/18/2013,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE) X2,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Drug Violations,20133155,11,11/18/2013 - 11:50pm,11/18/2013,700 SPORTS CENTER DR,"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M",No,Citation issued,700 SPORTS CENTER DR,Hagan Baseball Stadium,Hagan Baseball Stadium,283,283,Lexington,Lexington,0,0,KY,KY,40506,40506,38.032312,-84.527542,38.032312,-84.527542,38,-85
Assault,CSA20130035,11,11/18/2013 - 2:35pm,11/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130036,11,11/18/2013 - 2:05pm,11/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130037,11,11/18/2013 - 3:32pm,11/18/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130038,11,11/19/2013 - 6:11am,11/19/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
DUI,2013184287,11,11/17/2013 - 6:31am,11/19/2013,SOUTH LIMESTONE ST & HUGUELET DR,"CARELESS DRIVING, DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES, OPEN ALCO BEV CONTAINER IN AUTO",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Receiving Stolen Property,2013182056,11,11/13/2013 - 7:32pm,11/19/2013,1000 SOUTH LIMESTONE ST,"RECEIVING STOLEN PROPERTY U/$10,000",No,Closed - Lexington Police Report,1000 SOUTH LIMESTONE ST,Patient Care Facility (Pavilion A),Patient Care Facility (Pavilion A),602,602,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031528,-84.509463,38.031528,-84.509463,38,-85
Theft,2013183961,11,11/16/2013 - 5:00pm,11/19/2013,201 AVENUE OF CHAMPIONS,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed - Lexington Police Report,201 AVENUE OF CHAMPIONS,Memorial Coliseum,Memorial Coliseum,19,19,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039567,-84.501706,38.039567,-84.501706,38,-85
Theft,20133158,11,11/19/2013 - 8:05am,11/19/2013,597 SOUTH UPPER ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,597 SOUTH UPPER ST,Taylor Education Bldg,Taylor Education Bldg,1,1,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041566,-84.505987,38.041566,-84.505987,38,-85
Theft,20133161,11,11/18/2013 - 11:30pm,11/19/2013,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,1000 SOUTH LIMESTONE ST,Patient Care Facility (Pavilion A),Patient Care Facility (Pavilion A),602,602,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031528,-84.509463,38.031528,-84.509463,38,-85
Alcohol Intoxication,201349386,11,11/20/2013 - 3:20am,11/20/2013,754 WOODLAND AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Yes,Closed - Disciplinary Referral,754 WOODLAND AVE,Kirwan III,Kirwan III,150,150,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031067,-84.500869,38.031067,-84.500869,38,-85
Assault,CSA20130039,11,11/20/2013 - 5:20pm,11/20/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130040,11,11/20/2013 - 8:35pm,11/20/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
All Other Offenses,20133163,11,11/20/2013 - 2:05pm,11/20/2013,VIRGINIA AVE & PRESS AVE,"INDECENT EXPOSURE 1ST DEGREE, 1ST OFFENSE/M",No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Robbery,20133164,11,11/20/2013 - 4:04pm,11/20/2013,COLUMBIA AVE & COLUMBIA TERR,ROBBERY 1ST/F,No,Open,,,,,,,,,,,,,,,,,,,
Theft,20133168,11,11/20/2013 - 6:15pm,11/20/2013,1210 UNIVERSITY DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,1210 UNIVERSITY DR,Seaton Center,Seaton Center,219,219,Lexington,Lexington,0,0,KY,KY,40506,40506,38.028496,-84.504769,38.028496,-84.504769,38,-85
Sex Offenses,2013185984,11,11/07/2013 - 12:00am,11/20/2013,JERSEY ST,SEXUAL ABUSE 3RD/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Assault,CSA20130041,11,11/20/2013 - 9:40pm,11/21/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130042,11,11/20/2013 - 10:00pm,11/21/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Liquor Law Violation,20133170,11,11/21/2013 - 3:18am,11/21/2013,SOUTH LIMESTONE ST & WARREN CT,"LICENSE TO BE IN POSSESSION/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Burglary,20133171,11,11/20/2013 - 8:00pm,11/21/2013,512 ADMINISTRATION DR,"CRIMINAL MISCHIEF 3RD/M, BURGLARY 3RD/F",No,Open,512 ADMINISTRATION DR,F. Paul Anderson Tower,F. Paul Anderson Tower,46,46,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037445,-84.505398,38.037445,-84.505398,38,-85
Burglary,20133172,11,11/19/2013 - 11:45am,11/21/2013,597 SOUTH UPPER ST,BURGLARY 3RD/F,No,Open,597 SOUTH UPPER ST,Taylor Education Bldg,Taylor Education Bldg,1,1,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041566,-84.505987,38.041566,-84.505987,38,-85
Theft,20133176,11,11/21/2013 - 9:30pm,11/21/2013,430 COMPLEX DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,430 COMPLEX DR,Bernard Johnson Student Rec Ctr,Bernard Johnson Student Rec Ctr,220,220,Lexington,Lexington,0,0,KY,KY,40506,40506,38.029363,-84.505258,38.029363,-84.505258,38,-85
Assault,CSA20130043,11,11/21/2013 - 1:20pm,11/21/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Criminal Mischief,20133178,11,11/22/2013 - 12:25am,11/22/2013,COLUMBIA AVE & WOODLAND AVE,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,,,,,,
DUI,20133179,11,11/22/2013 - 2:50am,11/22/2013,MONTMULLIN ST,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M,No,Open,,,,,,,,,,,,,,,,,,,
All Other Offenses,20133184,11,11/21/2013 - 3:30pm,11/22/2013,301 HILLTOP AVE,INDECENT EXPOSURE 2ND,No,Open,301 HILLTOP AVE,Parking Garage No 2,Parking Garage No 2,198,198,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033407,-84.50395,38.033407,-84.50395,38,-85
Criminal Trespass,20133182,11,11/22/2013 - 11:00am,11/22/2013,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Drug Violations,20133189,11,11/23/2013 - 12:05am,11/23/2013,705 SPORTS CENTER DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,705 SPORTS CENTER DR,Ingels Hall  (Margaret),Ingels Hall  (Margaret),567,567,Lexington,Lexington,0,0,KY,KY,40526,40526,38.027044,-84.500178,38.027044,-84.500178,38,-85
DUI,20133190,11,11/23/2013 - 1:26am,11/23/2013,SOUTH LIMESTONE ST & AVENUE OF CHAMPIONS,"DISREGARDING TRAFFIC CONTROL DEVICE - TRAFFIC LIGHT, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, POSS OF OPEN ALC BEVERAGE CONTAIN IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Alcohol Intoxication,20133192,11,11/23/2013 - 4:15am,11/23/2013,343 SOUTH MLK BLVD,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Yes,Cleared By Arrest,343 SOUTH MLK BLVD,Blazer Hall,Blazer Hall,12,12,Lexington,Lexington,0,0,KY,KY,40526,40526,38.040986,-84.501276,38.040986,-84.501276,38,-85
DUI,20133193,11,11/23/2013 - 4:31am,11/23/2013,SOUTH MAIN ST & RANSOM AVE,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, PRESCRIPTION CONT SUB NOT PROPER CONTAIN 1ST/M, POSSESS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Criminal Mischief,20133196,11,11/23/2013 - 12:00am,11/23/2013,441 PENNSYLVANIA AVE,CRIMINAL MISCHIEF 1ST/F,Yes,Closed,441 PENNSYLVANIA AVE,Alpha Tau Omega Fraternity,Alpha Tau Omega Fraternity,505,505,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034095,-84.499495,38.034095,-84.499495,38,-84
Theft,20133197,11,10/07/2013 - 8:00am,11/23/2013,101 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,Yes,Closed,101 AVENUE OF CHAMPIONS,Holmes Hall,Holmes Hall,6,6,Lexington,Lexington,0,0,KY,KY,40526,40526,38.041524,-84.503834,38.041524,-84.503834,38,-85
Alcohol Intoxication,201349640,11,11/23/2013 - 12:20am,11/23/2013,VETERANS DR & HOSPITAL DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,,,,,,
Assault,CSA20130044,11,11/23/2013 - 6:00pm,11/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130045,11,11/23/2013 - 6:55pm,11/23/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
DUI,20133205,11,11/24/2013 - 2:45am,11/24/2013,SOUTH LIMESTONE & TRANSCRIPT AVE,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",No,Cleared By Arrest,,,,,,,,,,,,,,,,,,,
Theft,20133206,11,11/22/2013 - 11:00pm,11/24/2013,110 TRANSCRIPT AVE,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,110 TRANSCRIPT AVE,Parking Garage No 8,Parking Garage No 8,601,601,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031633,-84.509949,38.031633,-84.509949,38,-85
Theft,20133210,11,11/23/2013 - 8:00pm,11/24/2013,800 ROSE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,William R. Willard Medical Education Bldg,William R. Willard Medical Education Bldg,298,298,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03101112,0.00191791,1,0.001918,1,0,1
Alcohol Intoxication,201349744,11,11/24/2013 - 12:53am,11/24/2013,758 WOODLAND AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Yes,Closed - Disciplinary Referral,758 WOODLAND AVE,Kirwan Tower,Kirwan Tower,149,149,Lexington,Lexington,0,0,KY,KY,40526,40526,38.029441,-84.502532,38.029441,-84.502532,38,-85
Assault,CSA20130046,11,11/24/2013 - 11:10am,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130047,11,11/24/2013 - 3:31pm,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130048,11,11/24/2013 - 4:05pm,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130049,11,11/24/2013 - 3:24pm,11/24/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
All Other Offenses,20133215,11,11/22/2013 - 10:00am,11/24/2013,770 WOODLAND AVE,FORGERY 1ST/F,No,Closed,770 WOODLAND AVE,Complex Commons,Complex Commons,147,147,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031014,-84.50094,38.031014,-84.50094,38,-85
Theft,2013186226,11,11/16/2013 - 12:01am,11/25/2013,800 ROSE ST,"TBUT OR DISP ALL OTHERS U/$500/M, FRAUDULENT USE CRDIT CARD AFTER REP LOST/STOL U500/M",No,Closed - Lexington Police Report,William R. Willard Medical Education Bldg,William R. Willard Medical Education Bldg,298,298,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03101112,0.00191791,1,0.001918,1,0,1
Drug Violations,2013187783,11,11/23/2013 - 3:09am,11/25/2013,ALUMNI DR & NICHOLASVILLE RD,"FAILURE TO GIVE RIGHT OF WAY TO EMERGENCY STOPPED, OPER MOTOR VEHICLE U/INFLU/ALCOHOL <21 YOA, POSS OF MARIJUANA/M, PERSON 18-20 POSS/PURC/HAVE ANOTHER PURCHAS ALCOHO",No,Closed - Lexington Police Report,,,,,,,,,,,,,,,,,,,
Theft,20133217,11,11/25/2013 - 1:55pm,11/25/2013,505 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,505 ROSE ST,Chemistry-Physics Building,Chemistry-Physics Building,55,55,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035484,-84.503489,38.035484,-84.503489,38,-85
Criminal Mischief,20133219,11,11/25/2013 - 4:45pm,11/25/2013,310 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 1ST/F,No,Cleared By Arrest,310 SOUTH LIMESTONE ST,Good Samaritan Hospital (UK Healthcare),Good Samaritan Hospital (UK Healthcare),8633,8633,Lexington,Lexington,0,0,KY,KY,40508,40508,38.04293,-84.500435,38.04293,-84.500435,38,-85
Terroristic Threatening,CSA20130050,11,11/25/2013 - 3:00pm,11/25/2013,1350 BULL LEA RD,TERRORISTIC THREATENING 3RD,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
Assault,CSA20130051,11,11/25/2013 - 5:46pm,11/25/2013,1350 BULL LEA RD,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,(new) Eastern State Hospital,(new) Eastern State Hospital,9921,9921,Lexington,Lexington,99,99,KY,KY,40511,40511,38.084885,-84.497802,38.084885,-84.497802,38,-84
