Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Terroristic Threatening,20142746,10/04/2014 - 1:45pm,10/4/2014,310 South Limestone St,Terroristic Threatening 3rd/m,No,Unfounded,,,,,,,,,,,,,,
Alcohol Intoxication,20142750,10/04/2014 - 7:38pm,10/4/2014,College Way and Sports Center,Alcohol Intox in a public place (1st & 2nd offense/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20142751,09/05/2014 - 7:00pm,10/4/2014,1000 South Limestone St,Tbut or Disp Contents From Vehicle under $500/m,No,Closed,,,,,,,,,,,,,,
Theft,20142752,10/04/2014 - 7:10pm,10/4/2014,1540 University Dr,Tbut or Disp all others u/$500/m,No,Closed,,,,,,,,,,,,,,
Assault,CSA20141479,10/04/2014 - 6:30pm,10/4/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141480,10/04/2014 - 3:49pm,10/4/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141481,10/04/2014 - 2:22pm,10/4/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141482,10/04/2014 - 7:55am,10/4/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141483,10/04/2014 - 10:24am,10/4/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141484,10/04/2014 - 10:00am,10/4/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141485,10/04/2014 - 9:00am,10/4/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141486,10/04/2014 - 3:10am,10/4/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141487,10/04/2014 - 9:42pm,10/4/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20142725,10/03/2014 - 1:30am,10/3/2014,NICHOLASVILLE RD & WESTWOOD DR,"SPEEDING 14 MPH OVER LIMIT, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",No,Cleared By Arrest,,,,,,,,,,,,,
Alcohol Intoxication,20142726,10/03/2014 - 1:58am,10/3/2014,330 HILLTOP AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20142727,10/03/2014 - 3:28am,10/3/2014,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141466,10/03/2014 - 5:58am,10/3/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141467,10/03/2014 - 7:34am,10/3/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141468,10/02/2014 - 10:40pm,10/3/2014,361 HUGUELET DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141469,10/02/2014 - 9:05pm,10/3/2014,767 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X9,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Theft,20142731,10/02/2014 - 11:30pm,10/3/2014,410 Rose Ln,"Tbut or Disp from Building u/$500/m, Fraud use cred card u/$500 w/6 month period/m",No,Open,,,,,,,,,,,,,
Theft,20142734,09/26/2014 - 4:00pm,10/3/2014,1210 University Dr,Tbut or Disp from Building u/$500/m,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20142739,10/03/2014 - 11:00pm,10/3/2014,310 South Limestone Rd,"Alcohol Intox in a Public Place (1st & 2nd offense/v, Criminal Trespassing 3rd/v, Indecent Exposure 2nd/m",No,Cleared By Arrest,,,,,,,,,,,,
Assault,CSA20141488,10/03/2014 - 7:35pm,10/3/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141489,10/03/2014 - 6:10pm,10/3/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141490,10/03/2014 - 4:05pm,10/3/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141491,10/03/2014 - 2:00pm,10/3/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141492,10/03/2014 - 2:12pm,10/3/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141493,10/03/2014 - 2:51pm,10/3/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20142709,10/02/2014 - 12:21am,10/2/2014,HILLTOP AVE & UNIVERSITY DR,"NO REGISTRATION PLATES, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSS/M X2",No,Citation issued,,,,,,,,,,,,
Theft,2014165632,09/30/2014 - 11:30am,10/2/2014,SOUTH LIMESTONE ST & PRALL ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Harassment,2014164548,09/24/2014 - 7:15am,10/2/2014,AVENUE OF CHAMPIONS,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Theft,20142715,09/25/2014 - 10:10am,10/2/2014,120 GRAHAM AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
Sex Offenses,20142716,10/02/2014 - 12:00pm,10/2/2014,758 WOODLAND AVE,RAPE 1ST/F,Yes,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20142719,10/02/2014 - 8:30pm,10/2/2014,125 AVENUE OF CHAMPIONS,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20142720,10/02/2014 - 10:24pm,10/2/2014,ROSE ST & ROSE LN,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,20142729,09/29/2014 - 12:45am,10/2/2014,310 SOUTH LIMESTONE ST,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Drug Violations,20142721,10/02/2014 - 10:36pm,10/2/2014,1540 UNIVERSITY DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,,,,,,,,,,,,,
All Other Offenses,CSA20141462,09/30/2014 - 2:30pm,10/2/2014,750 ROSE ST,STALKING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141463,10/02/2014 - 1:10pm,10/2/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141464,10/02/2014 - 2:20pm,10/2/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141465,10/02/2014 - 3:55pm,10/2/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141453,10/01/2014 - 12:25am,10/1/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142699,09/30/2014 - 10:00am,10/1/2014,441 PENNSYLVANIA AVE,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CREDIT CARD $500 < $10,000/F",Yes,Open,,,,,,,,,,,,
Drug Violations,20142701,10/01/2014 - 12:40pm,10/1/2014,344 S MLK BLVD,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,
Sex Offenses,20142702,09/29/2014 - 12:45am,10/1/2014,310 SOUTH LIMESTONE ST,SEXUAL ABUSE 3RD/M,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Theft,20142704,09/18/2014 - 8:00pm,10/1/2014,344 S MLK BLVD,TBUT OR DISP OF BICYCLES U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20142705,10/01/2014 - 2:30pm,10/1/2014,401 HILLTOP AVE,TBUT OR DISP BICYCLES U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20142706,09/26/2014 - 10:00am,10/1/2014,301 HILLTOP AVE,TBUT OR DISP BICYCLES U/$500/M,No,Open,,,,,,,,,,,,,,
Theft,20142707,10/01/2014 - 9:30pm,10/1/2014,310 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201431801,10/01/2014 - 10:00pm,10/1/2014,767 WOODLAND AVE,ALCOHOL INTOXICATION,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,20142697,09/16/2014 - 8:15pm,10/1/2014,1350 BULL LEA RD,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed,,,,,,,,,,,,,,
All Other Offenses,CSA20141456,10/01/2014 - 12:00pm,10/1/2014,ON CAMPUS,STALKING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141457,10/01/2014 - 12:55pm,10/1/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141458,10/01/2014 - 1:55pm,10/1/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141459,10/01/2014 - 6:10pm,10/1/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141460,10/01/2014 - 7:47pm,10/1/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141461,10/01/2014 - 8:17pm,10/1/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,20142678,09/30/2014 - 1:51am,9/30/2014,763 Woodland Ave,"Alcohol Intox in a Public Place (1st & 2nd offense/v, Person 18-20 poss/purch-att purch-have another purch alcohol/v",No,Cleared By Arrest,,,,,,,,,,,,,
Assault,CSA20141447,09/30/2014 - 1:02am,9/30/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141448,09/30/2014 - 1:59am,9/30/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141449,09/29/2014 - 7:20pm,9/30/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141450,09/29/2014 - 7:45pm,9/30/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142683,09/30/2014 - 12:30am,9/30/2014,East Maxwell St and Martin Luther King,"Tbut or Disp Contents from vehicle $500 or more but u/$10,000/f",No,Open,,,,,,,,,,,,,
All Other Offenses,20142687,06/01/2014 - 12:00pm,9/30/2014,750 Rose St,HARASSING COMMUNICATIONS/M,No,Open,,,,,,,,,,,,,,
Drug Violations,20142691,09/30/2014 - 9:39pm,9/30/2014,758 Woodland Ave,"Poss Cont Sub, 2nd degree-drug unspecified/m, Drug Paraphernalia-buy/possess/m",No,Closed,,,,,,,,,,,,
Drug Violations,20142692,09/30/2014 - 10:27pm,9/30/2014,Jersey Street,Poss of Marijuana/m,No,Citation issued,,,,,,,,,,,,,,
Drug Violations,20142693,09/30/2014 - 11:43pm,9/30/2014,700 Sports Center Dr,Poss of Marijuana/m,No,Citation issued,,,,,,,,,,,,,,
Assault,CSA20141454,09/30/2014 - 7:15am,9/30/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141455,09/30/2014 - 2:58pm,9/30/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141422,09/29/2014 - 10:30am,9/29/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141423,09/29/2014 - 6:05am,9/29/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141424,09/29/2014 - 10:20am,9/29/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141441,09/27/2014 - 10:10pm,9/29/2014,410 Rose Ln,Person 18-20 Poss Alcohol/v X8,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141442,09/27/2014 - 11:50pm,9/29/2014,720 Woodland Ave,Person 18-20 Poss Alcohol/v X4,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141443,09/28/2014 - 12:13am,9/29/2014,758 Woodland Ave,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141444,09/27/2014 - 10:20pm,9/29/2014,758 Woodland Ave,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141446,09/29/2014 - 11:15am,9/29/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142671,09/28/2014 - 9:30pm,9/29/2014,310 South Limestone Rd,Tbut or Disp from building u/$500/m,No,Unfounded,,,,,,,,,,,,,,
Theft,20142672,09/19/2014 - 12:01am,9/29/2014,829 Press Avenue,"Tbut or Disp From Building $500 or more but u/$10,000/f",No,Closed,,,,,,,,,,,,,
Theft,20142673,09/28/2014 - 10:40pm,9/29/2014,829 Press Avenue,"Tbut or Disp all others $500 or more but u/$10,000/f",No,Closed,,,,,,,,,,,,,
Theft,20142674,09/28/2014 - 9:00pm,9/29/2014,401 Hilltop Ave,"Tbut or Disp all others $500 or more but U/$10,000/f",No,Closed,,,,,,,,,,,,,
Criminal Mischief,20142677,09/29/2014 - 11:40pm,9/29/2014,310 South Limestone Rd,"Criminal Mischief 1st/F, Assault 4th (minor injury)/M",No,Open,,,,,,,,,,,,,
Assault,CSA20141451,09/29/2014 - 7:30pm,9/29/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141452,09/29/2014 - 5:05pm,9/29/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Robbery,2014165098,09/29/2014 - 11:10pm,9/29/2014,271 East Maxwell ST,Robbery 1st/f,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Sex Offenses,2014164101,09/28/2014 - 1:00am,9/29/2014,1030 SOUTH BROADWAY,RAPE 2ND DEGREE (MENTALLY INCAPACITATED BY INTOX SUBSTANCE)/F,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Alcohol Intoxication,20142658,09/28/2014 - 12:53am,9/28/2014,102 Avenue of Champions,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20142660,09/28/2014 - 1:45am,9/28/2014,110 Transcript Ave,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20142662,09/27/2014 - 9:00am,9/28/2014,301 Hilltop Ave,"Tbut or disp Contents from Vehicle $500 or more but u/$10,000/f",No,Open,,,,,,,,,,,,,
Alcohol Intoxication,201431276,09/28/2014 - 1:00am,9/28/2014,769 Woodland Ave,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Alcohol Intoxication,201431288,09/28/2014 - 2:33am,9/28/2014,110 Transcript Ave,Drinking in Public Place/v,No,Closed,,,,,,,,,,,,,,
Assault,CSA20141425,09/28/2014 - 7:38pm,9/28/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141426,09/28/2014 - 5:20am,9/28/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141427,09/28/2014 - 1:41am,9/28/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141428,09/28/2014 - 1:40am,9/28/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Disorderly Conduct,20142682,09/28/2014 - 9:25pm,9/28/2014,756 Woodland Ave,Disorderly Conduct 2nd degree/m X4.,No,Citation issued,,,,,,,,,,,,,,
Assault,20142648,09/27/2014 - 12:11am,9/27/2014,1000 South Limestone,Assault 4th degree (minor injury)/m,No,Closed,,,,,,,,,,,,,,
Assault,20142650,09/27/2014 - 4:54am,9/27/2014,310 South Limestone Rd,Assault 4th degree (minor injury)/m,No,Closed,,,,,,,,,,,,,,
Theft,20142653,09/25/2014 - 8:00am,9/27/2014,121 Washington Ave,"Tbut or Disp from Building $500 or more but u/$10,000/f",No,Open,,,,,,,,,,,,,
Alcohol Intoxication,20142655,09/27/2014 - 1:59am,9/27/2014,1540 University Dr,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Trespass,20142656,09/27/2014 - 8:15pm,9/27/2014,310 South Limestone Rd,Criminal Trespassing-3rd Degree/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,CSA20141429,09/27/2014 - 2:45pm,9/27/2014,1350 Bull Lea Road,Assault 4th/m,No,,,,,,,,,,,,,,,
Assault,CSA20141430,09/27/2014 - 9:50am,9/27/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141431,09/27/2014 - 8:30am,9/27/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,2014163620,09/27/2014 - 1:01pm,9/27/2014,University Ave & South Limestone,"Alcohol Intox in a Public Place (1st & 2nd Offense/v, Person 18-20 poss/purch/att purch/have another purch alcohol/v, Criminal Poss of Forged Instr 2nd degree (identify/f",No,Closed - Lexington Police Report,,,,,,,,,,,,
Assault,2014163609,09/27/2014 - 12:30pm,9/27/2014,Cooper Dr and University Dr,Assault 4th (domestic Violence)-no visible injury/m,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,2014163763,09/27/2014 - 12:36pm,9/27/2014,600 Cooper Dr,Harassment-physical contact-no injury/m,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141420,09/25/2014 - 12:15am,9/26/2014,769 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X11,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Theft,CSA20141421,09/25/2014 - 7:45pm,9/26/2014,750 WOODLAND AVE,TBUT FROM BUILDING,Yes,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20142639,09/26/2014 - 1:01am,9/26/2014,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Drug Violations,20142640,09/26/2014 - 6:35am,9/26/2014,310 SOUTH LIMESTONE ST,DRUG PARAPHERNALIA - BUY/POSSESS/M,No,Closed,,,,,,,,,,,,,,
Theft,20142642,09/24/2014 - 8:30pm,9/26/2014,1300 Sports Center Dr,Tbut or Disp all Others u/$500/m,No,Closed,,,,,,,,,,,,,,
Theft,20142644,09/24/2014 - 8:00am,9/26/2014,110 Transcript Ave,"Tbut or Disp Contents from Vehicle $500 or more but u/$10,000/f",No,Open,,,,,,,,,,,,,
Theft,20142645,09/24/2014 - 6:30pm,9/26/2014,1540 University Dr,Tbut or Disp Contents from Vehicle under $500/m,No,Closed,,,,,,,,,,,,,,
Assault,20142646,09/26/2014 - 6:12pm,9/26/2014,Prall St and South Limestone,"Disorderly Conduct, 2nd degree/m, Fleeing or Evading Police, 2nd degree (on foot)/m, Assault 3rd Degree-Police Officer or Prob Officer/f",No,Open,,,,,,,,,,
Assault,CSA20141432,09/26/2014 - 10:54pm,9/26/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141433,09/26/2014 - 9:40pm,9/26/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141434,09/26/2014 - 9:10pm,9/26/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141435,09/26/2014 - 7:01pm,9/26/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141436,09/26/2014 - 6:22pm,9/26/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141437,09/26/2014 - 5:30pm,9/26/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141438,09/26/2014 - 11:00am,9/26/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141439,09/26/2014 - 7:45am,9/26/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141440,09/26/2014 - 8:56am,9/26/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141445,09/26/2014 - 7:45am,9/26/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20141409,09/25/2014 - 2:09am,9/25/2014,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141410,09/25/2014 - 4:05am,9/25/2014,1350 BULL LEA RD,"TERRORISTIC THREATENING, MENACING",No,Closed - CSA,,,,,,,,,,,,,
Liquor Law Violation,CSA20141411,09/24/2014 - 10:40pm,9/25/2014,720 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
DUI,20142623,09/25/2014 - 12:11am,9/25/2014,NICHOLASVILLE ROAD,"Disregarding Traffic Cont Dev-Traffic Light; Reckless Driving; Fleeing or Evading Police, 2nd Degree (Motor Vehicle); Drug Paraphernalia-Buy/Possess; Carrying a Concealed Weapon; Oper Mtr Veh U/Influ Alc/Drugs/Etc..08 (Agg Circum), 2nd Off",No,Cleared By Arrest,,,,,,,,,,,,
Terroristic Threatening,CSA20141412,09/25/2014 - 9:30am,9/25/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141413,09/25/2014 - 11:40am,9/25/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141414,09/25/2014 - 3:50pm,9/25/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141415,09/25/2014 - 3:16pm,9/25/2014,1350 BULL LEA RD,"TERRORISTIC THREATENING, CRIMINAL MISCHIEF",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20141416,09/25/2014 - 6:42pm,9/25/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141417,09/25/2014 - 6:51pm,9/25/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141418,09/25/2014 - 8:20pm,9/25/2014,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142630,10/15/2013 - 12:00am,9/25/2014,751 ROSE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Drug Violations,20142636,09/25/2014 - 5:00pm,9/25/2014,763 WOODLAND AVE,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Closed - Disciplinary Referral,,,,,,,,,,,,,
Drug Violations,20142637,09/25/2014 - 8:37pm,9/25/2014,720 SPORTS CENTER DR,POSS OF MARIJUANA/M,No,Closed,,,,,,,,,,,,,,
Theft,20142635,09/25/2014 - 4:19pm,9/25/2014,1540 UNIVERSITY DR,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",No,Open,,,,,,,,,,,,,
Burglary,2014161137,07/01/2014 - 6:00am,9/24/2014,633 MAXWELTON CT,BURGLARY 1ST/F,Yes,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,CSA20141400,09/24/2014 - 5:55am,9/24/2014,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141401,09/24/2014 - 10:40am,9/24/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141402,09/24/2014 - 3:50pm,9/24/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141403,09/24/2014 - 6:52pm,9/24/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141404,09/24/2014 - 3:20pm,9/24/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141405,09/24/2014 - 6:22pm,9/24/2014,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141406,09/24/2014 - 8:15pm,9/24/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141407,09/24/2014 - 9:15pm,9/24/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141408,09/24/2014 - 10:00pm,9/24/2014,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142612,09/09/2014 - 11:50am,9/24/2014,675 ROSE STREET,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
